package,date,version,total_dependencies,source
astropy,2020-10-10 16:22:57,4.0.2,26,pypi
astropy,2020-10-14 14:18:41,4.0.3,26,pypi
astropy,2020-10-21 20:22:53,4.1,27,pypi
astropy,2020-11-07 07:34:57,4.2rc1,26,pypi
astropy,2020-11-25 06:27:27,4.0.4,26,pypi
astropy,2020-11-25 08:35:22,4.2,27,pypi
astropy,2021-03-26 21:17:35,4.0.5,0,pypi
astropy,2021-04-01 17:12:14,4.2.1,27,pypi
astropy,2021-06-18 16:41:44,4.3rc1,31,pypi
astropy,2021-07-26 16:46:57,4.3,31,pypi
astropy,2021-07-26 22:04:52,4.3.post1,31,pypi
astropy,2021-08-11 20:44:17,4.3.1,31,pypi
astropy,2021-08-24 12:19:45,4.0.6.dev27461,28,pypi
astropy,2021-08-24 13:22:18,4.0.6,28,pypi
astropy,2021-11-02 17:27:06,5.0rc1,32,pypi
astropy,2021-11-10 23:56:14,5.0rc2,32,pypi
astropy,2021-11-19 15:20:39,5.0,32,pypi
astropy,2022-01-26 23:35:31,5.0.1,33,pypi
astropy,2022-03-10 15:04:45,5.0.2,34,pypi
astropy,2022-03-25 21:04:38,5.0.3,35,pypi
astropy,2022-03-31 17:08:12,5.0.4,35,pypi
astropy,2022-04-25 12:51:11,5.2.dev0,35,pypi
astropy,2022-04-28 20:59:08,5.1rc1,35,pypi
astropy,2022-05-24 20:14:26,5.1,35,pypi
astropy,2022-10-20 22:53:53,5.0.5,36,pypi
astropy,2022-10-23 08:49:53,5.1.1,36,pypi
astropy,2022-12-01 07:26:03,5.2rc1,38,pypi
astropy,2022-12-12 11:43:21,5.2,38,pypi
astropy,2023-01-08 14:41:03,5.2.1,38,pypi
astropy,2023-03-28 11:22:38,5.0.6,35,pypi
astropy,2023-03-28 11:39:34,5.2.2,37,pypi
astropy,2023-05-05 21:37:19,5.3rc1,39,pypi
astropy,2023-05-22 20:31:32,5.3,39,pypi
astropy,2023-07-06 21:53:06,5.3.1,38,pypi
astropy,2023-08-15 14:26:20,5.0.7,36,pypi
astropy,2023-08-15 14:50:19,5.3.2,38,pypi
astropy,2023-09-07 10:12:39,5.0.8,36,pypi
astropy,2023-09-07 10:29:57,5.3.3,38,pypi
astropy,2023-10-04 17:15:43,5.3.4,38,pypi
astropy,2023-11-09 20:45:46,6.0.0rc1,42,pypi
