package,version,date,gpu_score,cuda_version,gpu_deps_count,requires_external_cuda,source
cupy,8.0.0b5,2020-07-30 08:01:06,5,,0,True,pypi
cupy,7.8.0,2020-08-18 18:16:46,5,,0,True,pypi
cupy,7.8.0,2020-08-18 18:18:12,5,,0,True,pypi
cupy,8.0.0rc1,2020-08-27 07:01:04,5,,0,True,pypi
cupy,7.8.0.post1,2020-09-11 07:55:52,5,,0,True,pypi
cupy,7.8.0,2020-09-23 06:11:20,5,,0,True,pypi
cupy,8.0.0,2020-10-01 02:21:03,5,,0,True,pypi
cupy,8.0.0,2020-10-01 02:21:27,5,,0,True,pypi
cupy,8.0.0,2020-10-01 02:24:52,5,,0,True,pypi
cupy,9.0.0a1,2020-10-29 03:45:28,5,,0,True,pypi
cupy,8.1.0,2020-10-29 03:57:16,5,,0,True,pypi
cupy,8.1.0,2020-10-29 03:58:15,5,,0,True,pypi
cupy,8.1.0,2020-10-29 04:07:06,5,,0,True,pypi
cupy,8.2.0,2020-11-26 06:40:40,5,,0,True,pypi
cupy,8.2.0,2020-11-26 06:41:20,5,,0,True,pypi
cupy,8.2.0,2020-11-26 06:46:22,5,,0,True,pypi
cupy,9.0.0a2,2020-11-26 07:01:08,5,,0,True,pypi
cupy,9.0.0b1,2020-12-25 03:09:20,5,,0,True,pypi
cupy,8.3.0,2020-12-25 03:21:57,5,,0,True,pypi
cupy,8.3.0,2020-12-25 03:22:51,5,,0,True,pypi
cupy,8.3.0,2020-12-25 03:29:37,5,,0,True,pypi
cupy,9.0.0b2,2021-01-28 01:31:22,5,,0,True,pypi
cupy,8.4.0,2021-01-28 01:38:53,5,,0,True,pypi
cupy,8.4.0,2021-01-28 04:23:21,5,,0,True,pypi
cupy,8.4.0,2021-01-28 04:23:40,5,,0,True,pypi
cupy,8.5.0,2021-02-26 05:53:34,5,,0,True,pypi
cupy,8.5.0,2021-02-26 06:03:17,5,,0,True,pypi
cupy,8.5.0,2021-02-26 06:07:47,5,,0,True,pypi
cupy,9.0.0b3,2021-02-26 07:06:23,5,,0,True,pypi
cupy,8.6.0,2021-03-25 03:02:42,5,,0,True,pypi
cupy,9.0.0rc1,2021-03-25 03:21:55,5,,0,True,pypi
cupy,8.6.0,2021-03-25 05:40:57,5,,0,True,pypi
cupy,8.6.0,2021-03-25 05:41:18,5,,0,True,pypi
cupy,9.0.0,2021-04-22 01:25:20,5,,0,True,pypi
cupy,9.0.0,2021-04-22 01:29:12,5,,0,True,pypi
cupy,9.0.0,2021-04-22 01:30:04,5,,0,True,pypi
cupy,10.0.0a1,2021-05-27 01:27:06,5,,0,True,pypi
cupy,9.1.0,2021-05-27 01:27:15,5,,0,True,pypi
cupy,9.1.0,2021-05-27 01:29:31,5,,0,True,pypi
cupy,9.2.0,2021-06-24 06:53:51,5,,0,True,pypi
cupy,10.0.0a2,2021-06-24 06:54:28,5,,0,True,pypi
cupy,9.2.0,2021-06-24 06:54:30,5,,0,True,pypi
cupy,10.0.0b1,2021-08-05 07:00:08,5,,0,True,pypi
cupy,9.3.0,2021-08-05 07:01:31,5,,0,True,pypi
cupy,9.3.0,2021-08-20 17:53:18,5,,0,True,pypi
cupy,9.3.0,2021-08-20 17:54:41,5,,0,True,pypi
cupy,9.4.0,2021-08-26 02:06:11,5,,0,True,pypi
cupy,9.4.0,2021-08-26 02:07:23,5,,0,True,pypi
cupy,9.4.0,2021-08-26 02:23:52,5,,0,True,pypi
cupy,10.0.0b2,2021-08-26 02:27:02,5,,0,True,pypi
cupy,10.0.0b3,2021-09-30 05:26:55,5,,0,True,pypi
